Entry	Entry Name	Protein families
A0A6S7IVB7	A0A6S7IVB7_PARCT	Mitochondrion-specific ribosomal protein mL41 family
A0A6S7IVK0	A0A6S7IVK0_PARCT	
A0A6S7IVY0	A0A6S7IVY0_PARCT	
A0A6S7IW10	A0A6S7IW10_PARCT	
A0A6S7IW53	A0A6S7IW53_PARCT	
A0A6S7IW75	A0A6S7IW75_PARCT	
A0A6S7IW99	A0A6S7IW99_PARCT	
A0A6S7IWD0	A0A6S7IWD0_PARCT	
A0A6S7IWK1	A0A6S7IWK1_PARCT	
A0A6S7IWR3	A0A6S7IWR3_PARCT	
A0A6S7IX98	A0A6S7IX98_PARCT	
A0A6S7IXD9	A0A6S7IXD9_PARCT	
A0A6S7IY49	A0A6S7IY49_PARCT	TRAPP small subunits family, Sedlin subfamily
A0A6S7IY79	A0A6S7IY79_PARCT	
A0A6S7IYG9	A0A6S7IYG9_PARCT	
A0A6S7IYJ1	A0A6S7IYJ1_PARCT	Cytochrome c oxidase VIIc family
A0A6S7IYV9	A0A6S7IYV9_PARCT	EIF-2B gamma/epsilon subunits family
A0A6S7IYZ2	A0A6S7IYZ2_PARCT	
A0A6S7J005	A0A6S7J005_PARCT	
A0A6S7J0F6	A0A6S7J0F6_PARCT	
A0A6S7J0I9	A0A6S7J0I9_PARCT	
A0A6S7J0R7	A0A6S7J0R7_PARCT	GST superfamily, Omega family
A0A6S7J137	A0A6S7J137_PARCT	Cytochrome b5 family
A0A6S7J1P9	A0A6S7J1P9_PARCT	
A0A6S7J1V7	A0A6S7J1V7_PARCT	
A0A6S7J216	A0A6S7J216_PARCT	
A0A6S7J2G5	A0A6S7J2G5_PARCT	
A0A6S7J2Q0	A0A6S7J2Q0_PARCT	
A0A6S7J2X3	A0A6S7J2X3_PARCT	
A0A6S7J365	A0A6S7J365_PARCT	
A0A6S7J3B6	A0A6S7J3B6_PARCT	
A0A6S7J3H4	A0A6S7J3H4_PARCT	
A0A6S7J4B4	A0A6S7J4B4_PARCT	CKS family
A0A6S7J595	A0A6S7J595_PARCT	
A0A6S7J5Q3	A0A6S7J5Q3_PARCT	
A0A6S7J5S0	A0A6S7J5S0_PARCT	
A0A6S7J5W0	A0A6S7J5W0_PARCT	
A0A6S7J6B3	A0A6S7J6B3_PARCT	
A0A6S7J6F5	A0A6S7J6F5_PARCT	
A0A6S7J6G2	A0A6S7J6G2_PARCT	Cytochrome b5 family
A0A6S7J7A7	A0A6S7J7A7_PARCT	
A0A6S7J7I3	A0A6S7J7I3_PARCT	
A0A6S7J7K5	A0A6S7J7K5_PARCT	
A0A6S7J7M8	A0A6S7J7M8_PARCT	
A0A6S7J7Y2	A0A6S7J7Y2_PARCT	TMEM147 family
A0A6S7J827	A0A6S7J827_PARCT	
A0A6S7J831	A0A6S7J831_PARCT	
A0A6S7J8L4	A0A6S7J8L4_PARCT	
A0A6S7J8S6	A0A6S7J8S6_PARCT	
A0A6S7J971	A0A6S7J971_PARCT	
A0A6S7J973	A0A6S7J973_PARCT	
A0A6S7J9F8	A0A6S7J9F8_PARCT	
A0A6S7J9M3	A0A6S7J9M3_PARCT	Universal ribosomal protein uL22 family
A0A6S7JA28	A0A6S7JA28_PARCT	
A0A6S7JAC3	A0A6S7JAC3_PARCT	
A0A6S7JAC7	A0A6S7JAC7_PARCT	Mitochondrial pyruvate carrier (MPC) (TC 2.A.105) family
A0A6S7JAI5	A0A6S7JAI5_PARCT	
A0A6S7JAM3	A0A6S7JAM3_PARCT	Derlin family
A0A6S7JAW2	A0A6S7JAW2_PARCT	
A0A6S7JBF3	A0A6S7JBF3_PARCT	SNF7 family
A0A6S7JC39	A0A6S7JC39_PARCT	Luc7 family
A0A6S7JC53	A0A6S7JC53_PARCT	
A0A6S7JCE7	A0A6S7JCE7_PARCT	
A0A6S7JCP9	A0A6S7JCP9_PARCT	
A0A6S7JCS0	A0A6S7JCS0_PARCT	
A0A6S7JCT8	A0A6S7JCT8_PARCT	
A0A6S7JCU8	A0A6S7JCU8_PARCT	
A0A6S7JD85	A0A6S7JD85_PARCT	
A0A6S7JDE5	A0A6S7JDE5_PARCT	
A0A6S7JDX5	A0A6S7JDX5_PARCT	
A0A6S7JE30	A0A6S7JE30_PARCT	NDK family
A0A6S7JES6	A0A6S7JES6_PARCT	
A0A6S7JG33	A0A6S7JG33_PARCT	
A0A6S7JG86	A0A6S7JG86_PARCT	
A0A6S7JGI4	A0A6S7JGI4_PARCT	
A0A6S7JGM2	A0A6S7JGM2_PARCT	
A0A6S7JGP2	A0A6S7JGP2_PARCT	
A0A6S7JGY9	A0A6S7JGY9_PARCT	Mitochondrion-specific ribosomal protein mL49 family
A0A6S7JH93	A0A6S7JH93_PARCT	
A0A6S7JHJ1	A0A6S7JHJ1_PARCT	
A0A6S7JHQ0	A0A6S7JHQ0_PARCT	
A0A6S7JI53	A0A6S7JI53_PARCT	Luc7 family
A0A6S7JI58	A0A6S7JI58_PARCT	ZNF277 family
A0A6S7JI64	A0A6S7JI64_PARCT	
A0A6S7JI98	A0A6S7JI98_PARCT	
A0A6S7JIB9	A0A6S7JIB9_PARCT	Wnt family
A0A6S7JIP5	A0A6S7JIP5_PARCT	
A0A6S7JIZ0	A0A6S7JIZ0_PARCT	
A0A6S7JJ06	A0A6S7JJ06_PARCT	
A0A6S7JJ14	A0A6S7JJ14_PARCT	
A0A6S7JJ60	A0A6S7JJ60_PARCT	
A0A6S7JJ81	A0A6S7JJ81_PARCT	
A0A6S7JJA1	A0A6S7JJA1_PARCT	
A0A6S7JJD6	A0A6S7JJD6_PARCT	
A0A6S7JJM4	A0A6S7JJM4_PARCT	
A0A6S7JJW3	A0A6S7JJW3_PARCT	
A0A6S7JK03	A0A6S7JK03_PARCT	
A0A6S7JK28	A0A6S7JK28_PARCT	
A0A6S7JK92	A0A6S7JK92_PARCT	
A0A6S7JKA8	A0A6S7JKA8_PARCT	
A0A6S7JL26	A0A6S7JL26_PARCT	
A0A6S7JLC9	A0A6S7JLC9_PARCT	
A0A6S7JLE0	A0A6S7JLE0_PARCT	
A0A6S7JLK7	A0A6S7JLK7_PARCT	
A0A6S7JM64	A0A6S7JM64_PARCT	
A0A6S7JMB8	A0A6S7JMB8_PARCT	NIPA family
A0A6S7JMV3	A0A6S7JMV3_PARCT	
A0A6S7JNA2	A0A6S7JNA2_PARCT	
A0A6S7JNC8	A0A6S7JNC8_PARCT	
A0A6S7JNY7	A0A6S7JNY7_PARCT	
A0A6S7JPR7	A0A6S7JPR7_PARCT	
A0A6S7JPS5	A0A6S7JPS5_PARCT	
A0A6S7JPW9	A0A6S7JPW9_PARCT	
A0A6S7JQ26	A0A6S7JQ26_PARCT	
A0A6S7JQ59	A0A6S7JQ59_PARCT	
A0A6S7JQD0	A0A6S7JQD0_PARCT	
A0A6S7JQF3	A0A6S7JQF3_PARCT	
A0A6S7JQW7	A0A6S7JQW7_PARCT	
A0A6S7JR58	A0A6S7JR58_PARCT	
A0A6S7JRJ7	A0A6S7JRJ7_PARCT	
A0A6S7JS59	A0A6S7JS59_PARCT	
A0A6S7JSD2	A0A6S7JSD2_PARCT	
A0A6S7JSN0	A0A6S7JSN0_PARCT	
A0A6S7JSQ2	A0A6S7JSQ2_PARCT	
A0A6S7JSR6	A0A6S7JSR6_PARCT	Mitochondrial carrier (TC 2.A.29) family
A0A6S7JSX8	A0A6S7JSX8_PARCT	
A0A6S7JT19	A0A6S7JT19_PARCT	
A0A6S7JT30	A0A6S7JT30_PARCT	
A0A6S7JT35	A0A6S7JT35_PARCT	
A0A6S7JTF9	A0A6S7JTF9_PARCT	
A0A6S7JTQ2	A0A6S7JTQ2_PARCT	Small GTPase superfamily, Arf family
A0A6S7JTU9	A0A6S7JTU9_PARCT	NELF-D family
A0A6S7JU92	A0A6S7JU92_PARCT	
A0A6S7JUC1	A0A6S7JUC1_PARCT	
A0A6S7JUJ7	A0A6S7JUJ7_PARCT	
A0A6S7JUJ9	A0A6S7JUJ9_PARCT	
A0A6S7JUQ6	A0A6S7JUQ6_PARCT	
A0A6S7JV73	A0A6S7JV73_PARCT	
A0A6S7JV91	A0A6S7JV91_PARCT	E2F/DP family
A0A6S7JW23	A0A6S7JW23_PARCT	
A0A6S7JW44	A0A6S7JW44_PARCT	
A0A6S7JWV8	A0A6S7JWV8_PARCT	
A0A6S7JX02	A0A6S7JX02_PARCT	
A0A6S7JX33	A0A6S7JX33_PARCT	
A0A6S7JXA8	A0A6S7JXA8_PARCT	
A0A6S7JXU2	A0A6S7JXU2_PARCT	
A0A6S7JXY6	A0A6S7JXY6_PARCT	
A0A6S7JYC5	A0A6S7JYC5_PARCT	
A0A6S7JYC6	A0A6S7JYC6_PARCT	
A0A6S7JYF5	A0A6S7JYF5_PARCT	
A0A6S7JYL1	A0A6S7JYL1_PARCT	
A0A6S7JYT4	A0A6S7JYT4_PARCT	
A0A6S7JYT8	A0A6S7JYT8_PARCT	
A0A6S7JYX3	A0A6S7JYX3_PARCT	
A0A6S7JYY2	A0A6S7JYY2_PARCT	
A0A6S7JZ76	A0A6S7JZ76_PARCT	
A0A6S7JZL2	A0A6S7JZL2_PARCT	
A0A6S7K013	A0A6S7K013_PARCT	
A0A6S7K016	A0A6S7K016_PARCT	
A0A6S7K084	A0A6S7K084_PARCT	
A0A6S7K090	A0A6S7K090_PARCT	
A0A6S7K0F8	A0A6S7K0F8_PARCT	
A0A6S7K0K3	A0A6S7K0K3_PARCT	
A0A6S7K0M2	A0A6S7K0M2_PARCT	
A0A6S7K131	A0A6S7K131_PARCT	
A0A6S7K181	A0A6S7K181_PARCT	
A0A6S7K199	A0A6S7K199_PARCT	
A0A6S7K1C3	A0A6S7K1C3_PARCT	Mitochondrion-specific ribosomal protein mS33 family
A0A6S7K1T9	A0A6S7K1T9_PARCT	V-ATPase F subunit family
A0A6S7K224	A0A6S7K224_PARCT	
A0A6S7K2C3	A0A6S7K2C3_PARCT	
A0A6S7K322	A0A6S7K322_PARCT	
A0A6S7K332	A0A6S7K332_PARCT	Amiloride-sensitive sodium channel (TC 1.A.6) family
A0A6S7K3A8	A0A6S7K3A8_PARCT	
A0A6S7K3I1	A0A6S7K3I1_PARCT	
A0A6S7K3N8	A0A6S7K3N8_PARCT	
A0A6S7K3U7	A0A6S7K3U7_PARCT	
A0A6S7K3U8	A0A6S7K3U8_PARCT	
A0A6S7K417	A0A6S7K417_PARCT	AAA ATPase family
A0A6S7K452	A0A6S7K452_PARCT	EMC6 family
A0A6S7K476	A0A6S7K476_PARCT	
A0A6S7K4K4	A0A6S7K4K4_PARCT	
A0A6S7K4Q9	A0A6S7K4Q9_PARCT	
A0A6S7K5M5	A0A6S7K5M5_PARCT	
A0A6S7K5V3	A0A6S7K5V3_PARCT	TRAFAC class dynamin-like GTPase superfamily, IRG family
A0A6S7K693	A0A6S7K693_PARCT	
A0A6S7K6D8	A0A6S7K6D8_PARCT	
A0A6S7K6I2	A0A6S7K6I2_PARCT	
A0A6S7K6I5	A0A6S7K6I5_PARCT	
A0A6S7K6L5	A0A6S7K6L5_PARCT	Mitochondrial carrier (TC 2.A.29) family
A0A6S7K6V0	A0A6S7K6V0_PARCT	PHF5 family
A0A6S7K6Z0	A0A6S7K6Z0_PARCT	
A0A6S7K6Z4	A0A6S7K6Z4_PARCT	
A0A6S7K736	A0A6S7K736_PARCT	
A0A6S7K771	A0A6S7K771_PARCT	
A0A6S7K7E4	A0A6S7K7E4_PARCT	
A0A6S7K7G5	A0A6S7K7G5_PARCT	
A0A6S7K7I7	A0A6S7K7I7_PARCT	CD225/Dispanin family
A0A6S7K7Z5	A0A6S7K7Z5_PARCT	5'(3')-deoxyribonucleotidase family
A0A6S7K8N8	A0A6S7K8N8_PARCT	
A0A6S7K8P5	A0A6S7K8P5_PARCT	
A0A6S7K918	A0A6S7K918_PARCT	
A0A6S7K9B7	A0A6S7K9B7_PARCT	
A0A6S7K9G7	A0A6S7K9G7_PARCT	
A0A6S7K9H9	A0A6S7K9H9_PARCT	
A0A6S7K9I2	A0A6S7K9I2_PARCT	
A0A6S7K9L8	A0A6S7K9L8_PARCT	
A0A6S7K9P0	A0A6S7K9P0_PARCT	Band 7/mec-2 family
A0A6S7K9W3	A0A6S7K9W3_PARCT	
A0A6S7KA17	A0A6S7KA17_PARCT	
A0A6S7KAG7	A0A6S7KAG7_PARCT	5'(3')-deoxyribonucleotidase family
A0A6S7KAH0	A0A6S7KAH0_PARCT	
A0A6S7KAJ2	A0A6S7KAJ2_PARCT	
A0A6S7KAM4	A0A6S7KAM4_PARCT	
A0A6S7KAN6	A0A6S7KAN6_PARCT	
A0A6S7KAT6	A0A6S7KAT6_PARCT	
A0A6S7KB63	A0A6S7KB63_PARCT	Universal ribosomal protein uS11 family
A0A6S7KB90	A0A6S7KB90_PARCT	
A0A6S7KBL9	A0A6S7KBL9_PARCT	CD225/Dispanin family
A0A6S7KBS7	A0A6S7KBS7_PARCT	
A0A6S7KC09	A0A6S7KC09_PARCT	
A0A6S7KC66	A0A6S7KC66_PARCT	
A0A6S7KC88	A0A6S7KC88_PARCT	
A0A6S7KCQ7	A0A6S7KCQ7_PARCT	
A0A6S7KCR6	A0A6S7KCR6_PARCT	
A0A6S7KCS4	A0A6S7KCS4_PARCT	
A0A6S7KCW2	A0A6S7KCW2_PARCT	
A0A6S7KD25	A0A6S7KD25_PARCT	
A0A6S7KD72	A0A6S7KD72_PARCT	
A0A6S7KD79	A0A6S7KD79_PARCT	
A0A6S7KDB3	A0A6S7KDB3_PARCT	
A0A6S7KDQ3	A0A6S7KDQ3_PARCT	
A0A6S7KDW6	A0A6S7KDW6_PARCT	
A0A6S7KE19	A0A6S7KE19_PARCT	
A0A6S7KEJ2	A0A6S7KEJ2_PARCT	
A0A6S7KEM3	A0A6S7KEM3_PARCT	PRP38 family
A0A6S7KEM9	A0A6S7KEM9_PARCT	
A0A6S7KEY7	A0A6S7KEY7_PARCT	
A0A6S7KEZ3	A0A6S7KEZ3_PARCT	
A0A6S7KF82	A0A6S7KF82_PARCT	
A0A6S7KFA1	A0A6S7KFA1_PARCT	
A0A6S7KFK8	A0A6S7KFK8_PARCT	
A0A6S7KFZ4	A0A6S7KFZ4_PARCT	
A0A6S7KG05	A0A6S7KG05_PARCT	
A0A6S7KGD2	A0A6S7KGD2_PARCT	
A0A6S7KGR9	A0A6S7KGR9_PARCT	
A0A6S7KGS9	A0A6S7KGS9_PARCT	
A0A6S7KGX6	A0A6S7KGX6_PARCT	
A0A6S7KH14	A0A6S7KH14_PARCT	
A0A6S7KH90	A0A6S7KH90_PARCT	
A0A6S7KH95	A0A6S7KH95_PARCT	
A0A6S7KHH2	A0A6S7KHH2_PARCT	
A0A6S7KHY3	A0A6S7KHY3_PARCT	
A0A6S7KHZ8	A0A6S7KHZ8_PARCT	
A0A6S7KI80	A0A6S7KI80_PARCT	
A0A6S7KIB8	A0A6S7KIB8_PARCT	SOSS-C family
A0A6S7KIH4	A0A6S7KIH4_PARCT	
A0A6S7KII5	A0A6S7KII5_PARCT	
A0A6S7KIQ0	A0A6S7KIQ0_PARCT	
A0A6S7KIQ8	A0A6S7KIQ8_PARCT	
A0A6S7KJ52	A0A6S7KJ52_PARCT	
A0A6S7KJ77	A0A6S7KJ77_PARCT	Class IV-like SAM-binding methyltransferase superfamily, RNA methyltransferase NEP1 family
A0A6S7KJ92	A0A6S7KJ92_PARCT	
A0A6S7KJB6	A0A6S7KJB6_PARCT	
A0A6S7KJC6	A0A6S7KJC6_PARCT	
A0A6S7KJD8	A0A6S7KJD8_PARCT	
A0A6S7KJJ1	A0A6S7KJJ1_PARCT	
A0A6S7KJL6	A0A6S7KJL6_PARCT	
A0A6S7KJN7	A0A6S7KJN7_PARCT	
A0A6S7KJN9	A0A6S7KJN9_PARCT	Inner dynein arm light chain family
A0A6S7KJQ1	A0A6S7KJQ1_PARCT	
A0A6S7KJR2	A0A6S7KJR2_PARCT	
A0A6S7KJU4	A0A6S7KJU4_PARCT	
A0A6S7KK70	A0A6S7KK70_PARCT	
A0A6S7KKH1	A0A6S7KKH1_PARCT	
A0A6S7KKJ6	A0A6S7KKJ6_PARCT	Importin alpha family
A0A6S7KKL2	A0A6S7KKL2_PARCT	
A0A6S7KKL9	A0A6S7KKL9_PARCT	
A0A6S7KKQ9	A0A6S7KKQ9_PARCT	
A0A6S7KKT0	A0A6S7KKT0_PARCT	
A0A6S7KKY2	A0A6S7KKY2_PARCT	
A0A6S7KKZ7	A0A6S7KKZ7_PARCT	Peptidase C1 family
A0A6S7KL93	A0A6S7KL93_PARCT	
A0A6S7KLH0	A0A6S7KLH0_PARCT	
A0A6S7KLX2	A0A6S7KLX2_PARCT	
A0A6S7KMG7	A0A6S7KMG7_PARCT	
A0A6S7KMP4	A0A6S7KMP4_PARCT	
A0A6S7KMR6	A0A6S7KMR6_PARCT	
A0A6S7KMT8	A0A6S7KMT8_PARCT	SMIM7 family
A0A6S7KMV4	A0A6S7KMV4_PARCT	
A0A6S7KN76	A0A6S7KN76_PARCT	WD repeat SEC13 family
A0A6S7KNK0	A0A6S7KNK0_PARCT	
A0A6S7KNQ0	A0A6S7KNQ0_PARCT	
A0A6S7KP96	A0A6S7KP96_PARCT	
A0A6S7KPW6	A0A6S7KPW6_PARCT	
A0A6S7KQ43	A0A6S7KQ43_PARCT	
A0A6S7KQ97	A0A6S7KQ97_PARCT	
A0A6S7KQG0	A0A6S7KQG0_PARCT	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily
A0A6S7KQI6	A0A6S7KQI6_PARCT	
A0A6S7KRA0	A0A6S7KRA0_PARCT	
A0A6S7KRJ1	A0A6S7KRJ1_PARCT	
A0A6S7KS10	A0A6S7KS10_PARCT	Transcriptional coactivator PC4 family
A0A6S7KSV4	A0A6S7KSV4_PARCT	
A0A6S7KTA8	A0A6S7KTA8_PARCT	
A0A6S7KTB3	A0A6S7KTB3_PARCT	
A0A6S7KTH6	A0A6S7KTH6_PARCT	
A0A6S7KTV8	A0A6S7KTV8_PARCT	Eukaryotic ribosomal protein eL34 family
A0A6S7KTX9	A0A6S7KTX9_PARCT	
A0A6S7KU61	A0A6S7KU61_PARCT	
A0A6S7KU75	A0A6S7KU75_PARCT	
A0A6S7KUB4	A0A6S7KUB4_PARCT	
A0A6S7KUI2	A0A6S7KUI2_PARCT	
A0A6S7KUL8	A0A6S7KUL8_PARCT	
A0A6S7KV42	A0A6S7KV42_PARCT	
A0A6S7KVP5	A0A6S7KVP5_PARCT	
A0A6S7KVR6	A0A6S7KVR6_PARCT	SIKE family
A0A6S7KVW0	A0A6S7KVW0_PARCT	
A0A6S7KVX2	A0A6S7KVX2_PARCT	Ntn-hydrolase family
A0A6S7KW69	A0A6S7KW69_PARCT	
A0A6S7L0F9	A0A6S7L0F9_PARCT	
A0A6S7L0G3	A0A6S7L0G3_PARCT	
A0A6S7L161	A0A6S7L161_PARCT	
A0A6S7L3H2	A0A6S7L3H2_PARCT	
A0A6S7L499	A0A6S7L499_PARCT	Universal ribosomal protein uL22 family
A0A6S7L4T7	A0A6S7L4T7_PARCT	
A0A6S7L4U8	A0A6S7L4U8_PARCT	
A0A6S7L5E2	A0A6S7L5E2_PARCT	Sideroflexin family
A0A6S7L631	A0A6S7L631_PARCT	
A0A6S7L6K6	A0A6S7L6K6_PARCT	
A0A6S7L8V2	A0A6S7L8V2_PARCT	
A0A6S7L9A1	A0A6S7L9A1_PARCT	
A0A6S7L9S8	A0A6S7L9S8_PARCT	
A0A6S7LA20	A0A6S7LA20_PARCT	
A0A6S7LAQ5	A0A6S7LAQ5_PARCT	GTR/RAG GTP-binding protein family
A0A6S7LAY9	A0A6S7LAY9_PARCT	
A0A6S7LBB5	A0A6S7LBB5_PARCT	
A0A6S7LDD4	A0A6S7LDD4_PARCT	
A0A6S7LDT4	A0A6S7LDT4_PARCT	5'(3')-deoxyribonucleotidase family
A0A6S7LE03	A0A6S7LE03_PARCT	
A0A6S7LEF3	A0A6S7LEF3_PARCT	GTR/RAG GTP-binding protein family
A0A6S7LEM4	A0A6S7LEM4_PARCT	Nonaspanin (TM9SF) (TC 9.A.2) family
A0A6S7LEN5	A0A6S7LEN5_PARCT	Universal ribosomal protein uL18 family
A0A6S7LG54	A0A6S7LG54_PARCT	
A0A6S7LGF3	A0A6S7LGF3_PARCT	
A0A6S7LGI3	A0A6S7LGI3_PARCT	
A0A6S7LH10	A0A6S7LH10_PARCT	
A0A6S7LH61	A0A6S7LH61_PARCT	
A0A6S7LJ99	A0A6S7LJ99_PARCT	
A0A6S7LL61	A0A6S7LL61_PARCT	
A0A6S7LLB2	A0A6S7LLB2_PARCT	Synaptobrevin family
A0A6S7LLD7	A0A6S7LLD7_PARCT	
A0A6S7LLR3	A0A6S7LLR3_PARCT	
A0A6S7LMT3	A0A6S7LMT3_PARCT	
A0A6S7LMZ7	A0A6S7LMZ7_PARCT	
A0A6S7LND6	A0A6S7LND6_PARCT	
A0A6S7LNS4	A0A6S7LNS4_PARCT	
A0A6S7LNX9	A0A6S7LNX9_PARCT	
A0A6S7LNZ4	A0A6S7LNZ4_PARCT	
A0A6S7LP01	A0A6S7LP01_PARCT	
A0A6S7LP09	A0A6S7LP09_PARCT	PhyH family, PHYHD1 subfamily
A0A6S7LP70	A0A6S7LP70_PARCT	
A0A6S7LPE8	A0A6S7LPE8_PARCT	TFIIA subunit 1 family
A0A6S7LPI7	A0A6S7LPI7_PARCT	Sulfotransferase 1 family
A0A6S7LPZ5	A0A6S7LPZ5_PARCT	
A0A6S7LQ43	A0A6S7LQ43_PARCT	
A0A6S7LQ51	A0A6S7LQ51_PARCT	Mitochondrial carrier (TC 2.A.29) family
A0A6S7LQB6	A0A6S7LQB6_PARCT	
A0A6S7LQC2	A0A6S7LQC2_PARCT	
A0A6S7LQC6	A0A6S7LQC6_PARCT	Amiloride-sensitive sodium channel (TC 1.A.6) family
A0A6S7LQQ0	A0A6S7LQQ0_PARCT	
A0A6S7LQU7	A0A6S7LQU7_PARCT	
A0A6S7LQW1	A0A6S7LQW1_PARCT	
A0A6S7LR14	A0A6S7LR14_PARCT	Muscleblind family
A0A6S7LR41	A0A6S7LR41_PARCT	
A0A6S7LR54	A0A6S7LR54_PARCT	
A0A6S7LRV2	A0A6S7LRV2_PARCT	
A0A6S7LS25	A0A6S7LS25_PARCT	
A0A6S7LS65	A0A6S7LS65_PARCT	
A0A6S7LSD5	A0A6S7LSD5_PARCT	RER1 family
A0A6S7LSK4	A0A6S7LSK4_PARCT	
A0A6S7LSS3	A0A6S7LSS3_PARCT	
A0A6S7LSY9	A0A6S7LSY9_PARCT	Universal ribosomal protein uL24 family
A0A6S7LT97	A0A6S7LT97_PARCT	
A0A6S7LTF5	A0A6S7LTF5_PARCT	
A0A6S7LTK2	A0A6S7LTK2_PARCT	
A0A6S7LTT6	A0A6S7LTT6_PARCT	Mitochondrial carrier (TC 2.A.29) family
A0A6S7LTV7	A0A6S7LTV7_PARCT	
A0A6S7LTY1	A0A6S7LTY1_PARCT	
A0A6S7LU43	A0A6S7LU43_PARCT	
A0A6S7LU48	A0A6S7LU48_PARCT	
A0A6S7LU57	A0A6S7LU57_PARCT	
A0A6S7LU95	A0A6S7LU95_PARCT	
A0A6S7LUA5	A0A6S7LUA5_PARCT	
A0A6S7LUD2	A0A6S7LUD2_PARCT	
A0A6S7LUG8	A0A6S7LUG8_PARCT	
A0A6S7LUH9	A0A6S7LUH9_PARCT	
A0A6S7LUJ0	A0A6S7LUJ0_PARCT	
A0A6S7LV08	A0A6S7LV08_PARCT	
A0A6S7LV30	A0A6S7LV30_PARCT	
A0A6S7LV77	A0A6S7LV77_PARCT	
A0A6S7LVD9	A0A6S7LVD9_PARCT	
A0A6S7LVP9	A0A6S7LVP9_PARCT	ETF alpha-subunit/FixB family
A0A6S7LVT8	A0A6S7LVT8_PARCT	
A0A6S7LVU3	A0A6S7LVU3_PARCT	
A0A6S7LW43	A0A6S7LW43_PARCT	
A0A7D5FE26	A0A7D5FE26_9CNID	
A0A7D5FFP3	A0A7D5FFP3_9CNID	
A0A7D5NP59	A0A7D5NP59_9CNID	
A0A7D9D573	A0A7D9D573_PARCT	
A0A7D9D5N2	A0A7D9D5N2_PARCT	
A0A7D9D5R7	A0A7D9D5R7_PARCT	
A0A7D9D6K5	A0A7D9D6K5_PARCT	Wnt family
A0A7D9D6U7	A0A7D9D6U7_PARCT	
A0A7D9D7I1	A0A7D9D7I1_PARCT	NDK family
A0A7D9D7N2	A0A7D9D7N2_PARCT	TMEM242 family
A0A7D9D7Y7	A0A7D9D7Y7_PARCT	
A0A7D9D802	A0A7D9D802_PARCT	
A0A7D9DAN7	A0A7D9DAN7_PARCT	
A0A7D9DBZ4	A0A7D9DBZ4_PARCT	
A0A7D9DCM3	A0A7D9DCM3_PARCT	DDA1 family
A0A7D9DCX5	A0A7D9DCX5_PARCT	
A0A7D9DFA9	A0A7D9DFA9_PARCT	
A0A7D9DFW8	A0A7D9DFW8_PARCT	Ubiquitin family
A0A7D9DG51	A0A7D9DG51_PARCT	Tom20 family
A0A7D9DG88	A0A7D9DG88_PARCT	
A0A7D9DHH2	A0A7D9DHH2_PARCT	
A0A7D9DI39	A0A7D9DI39_PARCT	PDCD5 family
A0A7D9DI46	A0A7D9DI46_PARCT	Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family
A0A7D9DIH7	A0A7D9DIH7_PARCT	
A0A7D9DIL2	A0A7D9DIL2_PARCT	SERF family
A0A7D9DIN4	A0A7D9DIN4_PARCT	
A0A7D9DIR4	A0A7D9DIR4_PARCT	
A0A7D9DIS7	A0A7D9DIS7_PARCT	
A0A7D9DIX0	A0A7D9DIX0_PARCT	
A0A7D9DJJ2	A0A7D9DJJ2_PARCT	
A0A7D9DKM0	A0A7D9DKM0_PARCT	CKS family
A0A7D9DLE8	A0A7D9DLE8_PARCT	
A0A7D9DLJ1	A0A7D9DLJ1_PARCT	CD225/Dispanin family
A0A7D9DLU7	A0A7D9DLU7_PARCT	
A0A7D9DM17	A0A7D9DM17_PARCT	
A0A7D9DN81	A0A7D9DN81_PARCT	
A0A7D9DN84	A0A7D9DN84_PARCT	
A0A7D9DNB7	A0A7D9DNB7_PARCT	
A0A7D9DND7	A0A7D9DND7_PARCT	PET191 family
A0A7D9DNF2	A0A7D9DNF2_PARCT	
A0A7D9DNR6	A0A7D9DNR6_PARCT	
A0A7D9DQ17	A0A7D9DQ17_PARCT	
A0A7D9DQ50	A0A7D9DQ50_PARCT	
A0A7D9DS96	A0A7D9DS96_PARCT	
A0A7D9DSG9	A0A7D9DSG9_PARCT	
A0A7D9DTR5	A0A7D9DTR5_PARCT	
A0A7D9DTW4	A0A7D9DTW4_PARCT	
A0A7D9DWG1	A0A7D9DWG1_PARCT	
A0A7D9DWG8	A0A7D9DWG8_PARCT	
A0A7D9DWR9	A0A7D9DWR9_PARCT	
A0A7D9DXR4	A0A7D9DXR4_PARCT	
A0A7D9DYH0	A0A7D9DYH0_PARCT	
A0A7D9DYN2	A0A7D9DYN2_PARCT	
A0A7D9DYP1	A0A7D9DYP1_PARCT	
A0A7D9E0A5	A0A7D9E0A5_PARCT	
A0A7D9E0C1	A0A7D9E0C1_PARCT	
A0A7D9E0K5	A0A7D9E0K5_PARCT	
A0A7D9E0Q3	A0A7D9E0Q3_PARCT	
A0A7D9E150	A0A7D9E150_PARCT	
A0A7D9E1D2	A0A7D9E1D2_PARCT	Mitochondrial carrier (TC 2.A.29) family
A0A7D9E1K7	A0A7D9E1K7_PARCT	ARPC3 family
A0A7D9E217	A0A7D9E217_PARCT	CNOT11 family
A0A7D9E2D7	A0A7D9E2D7_PARCT	Phospholipid scramblase family
